market,dimension,value,n,win_rate,roi_per_unit,n_2024,roi_2024,n_2025,roi_2025,positive_in_both_seasons_min_n,bet_pool
rec_yards,side,OVER,1588,0.5157430730478589,-0.0315452574262786,820,-0.04640523737289379,768,-0.01567913300411135,False,LEAN_OR_STRONG
rec_yards,side,UNDER,4006,0.5122316525212182,-0.03451772831049542,2060,-0.06946311394866689,1946,0.0024748176374147697,False,LEAN_OR_STRONG
receptions,home_away,HOME,2663,0.540743522343222,-0.002679226713099619,1356,-0.019520468509430573,1307,0.014793400582864229,False,LEAN_OR_STRONG
receptions,home_away,AWAY,2882,0.5340041637751561,-0.02082766994166334,1429,-0.037253525784028074,1453,-0.004673128992771934,False,LEAN_OR_STRONG
receptions,week_bucket,MID_7_12,1831,0.5439650464227198,0.0032654523585495207,924,-0.010348524424299028,907,0.01713459739421883,False,LEAN_OR_STRONG
receptions,week_bucket,LATE_13_18,1749,0.5425957690108634,-0.010393016654063949,884,-0.06460946327580198,865,0.04501431145416311,False,LEAN_OR_STRONG
receptions,week_bucket,EARLY_1_6,1965,0.5262086513994911,-0.027970372849569654,977,-0.01333494528178376,988,-0.042442855373584665,False,LEAN_OR_STRONG
receptions,component_sd_q,SD_Q1_LOW,4031,0.5457702803274622,-0.002233814857931323,2016,-0.014293931001148497,2015,0.009832286454587696,False,LEAN_OR_STRONG
receptions,component_sd_q,SD_Q2,1514,0.5145310435931307,-0.03841190080352504,769,-0.06617487483205281,745,-0.009754549088172207,False,LEAN_OR_STRONG
receptions,prob_edge_q,EDGE_Q4_HIGH,1231,0.5223395613322502,0.028495133429616057,599,0.029459408743088073,632,0.027581207934727237,True,LEAN_OR_STRONG
receptions,prob_edge_q,EDGE_Q3,1957,0.5625958099131323,-0.0006392176483246975,972,-0.03862327496795329,985,0.03684352723967427,False,LEAN_OR_STRONG
receptions,prob_edge_q,EDGE_Q2,1427,0.54239663629993,-0.016941480855203625,734,-0.026676891547754752,693,-0.006630093483872406,False,LEAN_OR_STRONG
receptions,prob_edge_q,EDGE_Q1_LOW,930,0.4956989247311828,-0.08259268026082624,480,-0.08380951628410656,450,-0.08129472183599393,False,LEAN_OR_STRONG
receptions,side,OVER,709,0.5571227080394923,-0.0016242788011975333,317,-0.01674044061310619,392,0.010599760215065337,False,LEAN_OR_STRONG
receptions,side,UNDER,4836,0.5343258891645989,-0.013649402778910044,2468,-0.030145187994250127,2368,0.003542994987753516,False,LEAN_OR_STRONG
rush_rec_yards,home_away,HOME,1212,0.5074257425742574,-0.04866455320711894,894,-0.07636982473958194,318,0.029223851667163816,False,LEAN_OR_STRONG
rush_rec_yards,home_away,AWAY,1327,0.506405425772419,-0.050894477308815744,965,-0.059280929967568376,362,-0.028538325884240347,False,LEAN_OR_STRONG
rush_rec_yards,week_bucket,MID_7_12,898,0.5267260579064588,-0.012657561721452208,660,-0.015571717652017234,238,-0.004576288972826498,False,LEAN_OR_STRONG
rush_rec_yards,week_bucket,EARLY_1_6,962,0.5083160083160083,-0.0473140773839252,720,-0.08487293173156382,242,0.06443127439417319,False,LEAN_OR_STRONG
rush_rec_yards,week_bucket,LATE_13_18,679,0.4786450662739323,-0.10255637261653393,479,-0.11293293578044344,200,-0.07770450383897054,False,LEAN_OR_STRONG
rush_rec_yards,component_sd_q,SD_Q2,259,0.5212355212355212,-0.022851039022602417,216,-0.03659696837614459,43,0.04619828052077218,False,LEAN_OR_STRONG
rush_rec_yards,component_sd_q,SD_Q4_HIGH,1520,0.5184210526315789,-0.027765514372919478,1036,-0.04772475931351382,484,0.014957166946203925,False,LEAN_OR_STRONG
rush_rec_yards,component_sd_q,SD_Q3,747,0.48058902275769744,-0.10014771945635692,599,-0.10975778694099789,148,-0.06125291929892478,False,LEAN_OR_STRONG
rush_rec_yards,component_sd_q,SD_Q1_LOW,13,0.38461538461538464,-0.27585096063356934,8,-0.29850131752305664,5,-0.2396103896103896,False,LEAN_OR_STRONG
rush_rec_yards,prob_edge_q,EDGE_Q2,531,0.5160075329566854,-0.033342079275783754,444,0.003956341999820254,87,-0.22369264302714215,False,LEAN_OR_STRONG
rush_rec_yards,prob_edge_q,EDGE_Q4_HIGH,1048,0.5095419847328244,-0.043402046996436516,671,-0.12290432069821025,377,0.0980993473109645,False,LEAN_OR_STRONG
rush_rec_yards,prob_edge_q,EDGE_Q3,569,0.4991212653778559,-0.06498710979742674,414,-0.07388570814100613,155,-0.041219240673285626,False,LEAN_OR_STRONG
rush_rec_yards,prob_edge_q,EDGE_Q1_LOW,391,0.49872122762148335,-0.06739323543065015,330,-0.0429692552270737,61,-0.1995229644008178,False,LEAN_OR_STRONG
rush_rec_yards,side,OVER,398,0.507537688442211,-0.049310066077262,341,-0.028231778327405,57,-0.1754099980544767,False,LEAN_OR_STRONG
rush_rec_yards,side,UNDER,2141,0.5067725361980383,-0.0499266714512267,1518,-0.07631995014904126,623,0.014383115167204275,False,LEAN_OR_STRONG
