season,week,team,opponent,player_clean_key,actual_pass_yards,actual_attempts,pred_pass_yards,pred_attempts,pred_ypa,actual_qb_attempt_share,actual_ypa,implied_pred_ypa,det_pass_yards
2024,7,PIT,NYJ,russellwilson,264,29,205.9699772,30.17523771,6.782320022,1,9.103448276,6.825794687,204.6581189
2024,7,SEA,ATL,genosmith,207,28,251.0164098,35.61531913,7.043489334,0.9655172414,7.392857143,7.047989908,250.8561204
2024,7,SF,KC,brockpurdy,212,31,257.7927919,30.32804517,8.544807507,1,6.838709677,8.500145345,259.147308
2024,7,TB,BAL,bakermayfield,370,45,214.4228845,29.84798634,7.198452476,1,8.222222222,7.183830832,214.8593112
2024,8,ARI,MIA,kylermurray,307,36,207.7123396,30.28553253,6.893853615,1,8.527777778,6.858467468,208.7840279
2024,8,ATL,TB,kirkcousins,276,29,255.0838896,35.1313524,7.274159953,1,9.517241379,7.260861658,255.5510767
2024,8,BAL,CLE,lamarjackson,289,38,250.4406168,30.06058226,8.371839658,1,7.605263158,8.331196471,251.6623747
2024,8,BUF,SEA,joshallen,283,34,206.504209,28.2053154,7.32765682,1,8.323529412,7.321464274,206.6788717
2024,8,CHI,WAS,calebwilliams,131,24,222.9268994,32.81093727,6.747971178,1,5.458333333,6.794286234,221.407259
2024,8,CIN,PHI,joeburrow,234,37,215.2426618,31.5672265,6.822902682,1,6.324324324,6.818548401,215.3801143
2024,8,DAL,SF,dakprescott,243,38,248.6653109,34.05553472,7.273123553,1,6.394736842,7.30175911,247.6901117
2024,8,DEN,CAR,bonix,284,37,182.8575188,29.60466334,6.167722986,0.9487179487,7.675675676,6.176645776,182.5933626
2024,8,GB,JAX,jordanlove,196,22,230.1072094,31.80405127,7.228505814,0.8148148148,8.909090909,7.235154021,229.8957695
2024,8,HOU,IND,cjstroud,285,37,237.9576834,31.85395092,7.460791063,1,7.702702703,7.47027218,237.6556723
2024,8,IND,HOU,anthonyrichardson,175,32,194.2982563,24.8774534,7.827328337,1,5.46875,7.810214863,194.7239959
2024,8,JAX,GB,trevorlawrence,308,32,222.1987098,31.00513173,7.185445062,1,9.625,7.166513973,222.7856707
2024,8,KC,LV,patrickmahomes,262,38,223.6803411,31.45571533,7.099285329,1,6.894736842,7.110960242,223.3130984
2024,8,LAC,NO,justinherbert,279,32,207.5731236,30.33011586,6.906886259,1,8.71875,6.843795935,209.4866605
2024,8,LAR,MIN,matthewstafford,279,34,247.9859932,33.73003883,7.349925278,1,8.205882353,7.352081461,247.913265
2024,8,LV,KC,gardnerminshew,209,30,167.2257028,24.61053786,6.790829931,1,6.966666667,6.794882084,167.1259771
2024,8,MIA,ARI,tuatagovailoa,234,38,209.6764026,27.11150265,7.75400964,1,6.157894737,7.733853978,210.2228529
2024,8,MIN,LAR,samdarnold,240,25,182.3578666,28.96937971,6.320609976,1,9.6,6.294848852,183.1041504
2024,8,NYG,PIT,danieljones,264,38,189.2110171,31.27588669,6.019890212,1,6.947368421,6.049741097,188.2774042
2024,8,NYJ,NE,aaronrodgers,233,28,205.7440952,32.65287864,6.298824295,1,8.321428571,6.300948148,205.6747453
2024,8,PHI,CIN,jalenhurts,236,20,231.7869661,32.17432796,7.199605085,1,11.8,7.204096584,231.6424552
2024,8,PIT,NYG,russellwilson,278,28,211.7370997,30.5875282,6.933230726,1,9.928571429,6.922334432,212.0703904
2024,8,SEA,BUF,genosmith,212,29,241.9889464,34.20168711,7.069303313,1,7.310344828,7.075351154,241.7821
2024,8,SF,DAL,brockpurdy,260,26,262.527405,30.20899096,8.648055336,1,10,8.690373185,261.2490255
2024,8,TB,ATL,bakermayfield,330,50,230.0094901,31.01912413,7.394108202,1,6.6,7.415086551,229.3587601
2024,8,TEN,DET,masonrudolph,266,38,185.5461282,27.01349207,6.842978669,1,7,6.868646518,184.85275
2024,8,WAS,CHI,jaydendaniels,326,38,158.4004085,21.51093716,7.342997381,1,8.578947368,7.363714899,157.9547552
2024,9,ARI,CHI,kylermurray,154,20,208.9160702,30.74678826,6.814248962,1,7.7,6.79472823,209.51627
2024,9,ATL,DAL,kirkcousins,222,24,254.1618416,34.88902197,7.361310572,1,9.25,7.284865761,256.8289263
2024,9,BAL,DEN,lamarjackson,280,19,249.710551,30.52826048,8.159798805,1,14.73684211,8.179652134,249.1044634
2024,9,BUF,MIA,joshallen,235,39,219.147916,29.1163512,7.498890869,1,6.025641026,7.526627033,218.3403401
2024,9,CHI,ARI,calebwilliams,217,41,214.6177627,32.24417578,6.623709205,1,5.292682927,6.656016396,213.5760439
2024,9,CIN,LV,joeburrow,251,39,215.124564,31.44696148,6.788554925,1,6.435897436,6.840869639,213.4794252
